id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,social_condition,action_response
1,performance,29,button,prior,0.362,music,chrome,1213,590,1280,720,FALSE,deducing instructions,decided what option would produce the most amount of results,it seemed to me that one screen jumped ahead,60,f,english,257.315,18.184,3,no-social,both
1,performance,34,both,prior,0.425,music,chrome,1213,590,1280,720,FALSE,deducing instructions,decided what option would produce the most amount of results,it seemed to me that one screen jumped ahead,60,f,english,257.315,18.184,3,no-social,both
1,performance,17,handle,prior,0.212,music,chrome,1213,590,1280,720,FALSE,deducing instructions,decided what option would produce the most amount of results,it seemed to me that one screen jumped ahead,60,f,english,257.315,18.184,3,no-social,both
2,performance,30,both,prior,0.185,music,chrome,1227,707,1600,900,FALSE,probability,the first example used the button for the music and i went with familiarity,very fun and easy task,34,m,english,445.694,38.89,3,no-social,button
2,performance,66,button,prior,0.407,music,chrome,1227,707,1600,900,FALSE,probability,the first example used the button for the music and i went with familiarity,very fun and easy task,34,m,english,445.694,38.89,3,no-social,button
2,performance,66,handle,prior,0.407,music,chrome,1227,707,1600,900,FALSE,probability,the first example used the button for the music and i went with familiarity,very fun and easy task,34,m,english,445.694,38.89,3,no-social,button
3,nogoal,10,handle,prior,0.052,music,chrome,1211,1282,2560,1440,FALSE,no idea,i thought i would be best solution for a cannot fail scenario. ,it seemed fine,34,male,english,214.334,24.838,2,no-social,both
3,nogoal,84,button,prior,0.433,music,chrome,1211,1282,2560,1440,FALSE,no idea,i thought i would be best solution for a cannot fail scenario. ,it seemed fine,34,male,english,214.334,24.838,2,no-social,both
3,nogoal,100,both,prior,0.515,music,chrome,1211,1282,2560,1440,FALSE,no idea,i thought i would be best solution for a cannot fail scenario. ,it seemed fine,34,male,english,214.334,24.838,2,no-social,both
4,nogoal,34,button,prior,0.327,light,chrome,1213,600,1280,768,FALSE,no idea ,it seemed like either pulling lever or pressing the button would identify the toy.,no,35,m,english,651.143,174.256,3,no-social,handle
4,nogoal,35,handle,prior,0.337,light,chrome,1213,600,1280,768,FALSE,no idea ,it seemed like either pulling lever or pressing the button would identify the toy.,no,35,m,english,651.143,174.256,3,no-social,handle
4,nogoal,35,both,prior,0.337,light,chrome,1213,600,1280,768,FALSE,no idea ,it seemed like either pulling lever or pressing the button would identify the toy.,no,35,m,english,651.143,174.256,3,no-social,handle
5,presentation,31,both,prior,0.298,music,chrome,1297,702,1366,768,FALSE,unsure,to be certain it would work,no,56,m,english,133.476,8.454,3,social,both
5,presentation,40,handle,prior,0.385,music,chrome,1297,702,1366,768,FALSE,unsure,to be certain it would work,no,56,m,english,133.476,8.454,3,social,both
5,presentation,33,button,prior,0.317,music,chrome,1297,702,1366,768,FALSE,unsure,to be certain it would work,no,56,m,english,133.476,8.454,3,social,both
6,presentation,100,button,prior,0.498,light,chrome,966,902,1920,1080,FALSE,actions,it's guaranteed to produce a response.,no,38,m,english,149.952,10.583,3,social,both
6,presentation,100,handle,prior,0.498,light,chrome,966,902,1920,1080,FALSE,actions,it's guaranteed to produce a response.,no,38,m,english,149.952,10.583,3,social,both
6,presentation,1,both,prior,0.005,light,chrome,966,902,1920,1080,FALSE,actions,it's guaranteed to produce a response.,no,38,m,english,149.952,10.583,3,social,both
7,presentation,37,both,prior,0.266,light,chrome,1870,600,1920,1080,FALSE,thoughts on predicting object behaviors,because it guaranteed the outcome i wanted.,no issues,35,male,english,181.58,24.287,2,social,both
7,presentation,16,button,prior,0.115,light,chrome,1870,600,1920,1080,FALSE,thoughts on predicting object behaviors,because it guaranteed the outcome i wanted.,no issues,35,male,english,181.58,24.287,2,social,both
7,presentation,86,handle,prior,0.619,light,chrome,1870,600,1920,1080,FALSE,thoughts on predicting object behaviors,because it guaranteed the outcome i wanted.,no issues,35,male,english,181.58,24.287,2,social,both
8,performance,80,button,prior,0.741,music,chrome,1230,612,1280,800,FALSE,problem solving,i thought it would do it on all of them if i pushed both so i thought it was the safe way to go about it.,none,29,m,english,177.762,21.936,3,social,both
8,performance,12,both,prior,0.111,music,chrome,1230,612,1280,800,FALSE,problem solving,i thought it would do it on all of them if i pushed both so i thought it was the safe way to go about it.,none,29,m,english,177.762,21.936,3,social,both
8,performance,16,handle,prior,0.148,music,chrome,1230,612,1280,800,FALSE,problem solving,i thought it would do it on all of them if i pushed both so i thought it was the safe way to go about it.,none,29,m,english,177.762,21.936,3,social,both
9,performance,39,handle,prior,0.331,music,firefox,1456,720,1525,858,FALSE,problem solving,"based on the toy descriptions, both actions simultaneously would invariably turn the music on...unfortunately that one action would not help me determine which specifically caused the music.","i wasnt sure about the probability question, i assumed the same amount of each box was produced making it a 1 in 3 chance that an unlabeled box would function in a particular way at.",41,m,english,518.968,27.285,3,social,both
9,performance,39,both,prior,0.331,music,firefox,1456,720,1525,858,FALSE,problem solving,"based on the toy descriptions, both actions simultaneously would invariably turn the music on...unfortunately that one action would not help me determine which specifically caused the music.","i wasnt sure about the probability question, i assumed the same amount of each box was produced making it a 1 in 3 chance that an unlabeled box would function in a particular way at.",41,m,english,518.968,27.285,3,social,both
9,performance,40,button,prior,0.339,music,firefox,1456,720,1525,858,FALSE,problem solving,"based on the toy descriptions, both actions simultaneously would invariably turn the music on...unfortunately that one action would not help me determine which specifically caused the music.","i wasnt sure about the probability question, i assumed the same amount of each box was produced making it a 1 in 3 chance that an unlabeled box would function in a particular way at.",41,m,english,518.968,27.285,3,social,both
10,learning,21,both,prior,0.151,light,chrome,1299,600,1366,768,FALSE,the task was confusing ,i was just going in the order that it was presented,n/a,34,f,english,418.697,91.205,3,no-social,handle
10,learning,57,button,prior,0.41,light,chrome,1299,600,1366,768,FALSE,the task was confusing ,i was just going in the order that it was presented,n/a,34,f,english,418.697,91.205,3,no-social,handle
10,learning,61,handle,prior,0.439,light,chrome,1299,600,1366,768,FALSE,the task was confusing ,i was just going in the order that it was presented,n/a,34,f,english,418.697,91.205,3,no-social,handle
11,nogoal,3,handle,prior,0.015,music,chrome,1205,634,1280,800,FALSE,problem solving,i wanted a choice that could yield something to solve the problem,,20,m,spanish,224.944,41.134,3,no-social,button
11,nogoal,100,button,prior,0.493,music,chrome,1205,634,1280,800,FALSE,problem solving,i wanted a choice that could yield something to solve the problem,,20,m,spanish,224.944,41.134,3,no-social,button
11,nogoal,100,both,prior,0.493,music,chrome,1205,634,1280,800,FALSE,problem solving,i wanted a choice that could yield something to solve the problem,,20,m,spanish,224.944,41.134,3,no-social,button
