id,condition,action_response,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,age,gender,first_language
1,nogoal,handle,chrome,1230,600,1280,800,FALSE,seeing how different people would play with the toy,because i wanted to see what it did,19,m,english
2,nogoal,both,chrome,1119,1100,1920,1200,FALSE,i don't know.,it felt right.,34,m,english
3,nogoal,both,chrome,647,866,1280,1024,FALSE,to see what choices people made. ,because i wanted to see what would happen if i did both functions at the same time. ,41,male,english
4,nogoal,handle,chrome,1709,854,1600,900,FALSE,measuring how people make choices,it seemed the most interesting and most likely to do something,31,male,english
5,nogoal,handle,chrome,1695,600,1920,1080,FALSE,"whether the general public likes shiny red candy-like buttons or manual levers/handles, or want it all and choose both",pull the handle down,48,f,english
6,nogoal,handle,chrome,957,675,1024,768,FALSE,no clue at all. none.,it reminded me of the old slots machines. and it's more fun than pushing a button.,47,m,english
7,nogoal,button,chrome,1533,600,1600,900,FALSE,testing shape perceptions ,button seemed to me to indicate a bigger action would occur.,28,male,english
8,nogoal,both,chrome,1533,1069,1600,1200,FALSE,decision making.,i am curious.,24,m,english
9,nogoal,handle,chrome,1533,600,1600,900,FALSE,to see what people thought would cause an action to start.,i don't know.  i thought about it for a minute and thought that this would be the most useful thing.,33,m,english
10,nogoal,handle,chrome,1120,866,1280,1024,FALSE,most appealing part of a new device,it seemed like that would start it up,46,f,english
11,nogoal,button,firefox,1464,600,1536,864,FALSE,i don't really have a clue on this one.,"to be honest, i'm not sure.  it was just a kneejerk reaction i think.",54,m,english
12,nogoal,both,chrome,1419,1067,1920,1080,FALSE,decision making,i selected this option to try to see if i could do both options at once.,29,m,english
13,nogoal,both,chrome,1853,974,1920,1080,FALSE,i'm not sure,because it combined the two answers and offered more engagement with the object,26,m,english
14,nogoal,handle,chrome,1225,699,1440,900,FALSE,not sure - potentially how we perceive cause and effect?,i think that pulling the handle would feel fun.,29,f,english
15,nogoal,button,chrome,1299,600,1366,768,FALSE,not sure,seems right,25,f,english
16,nogoal,handle,chrome,1449,778,1366,768,FALSE,i don't know.,pulling the handle seemed the most significant.,36,m,english
17,nogoal,handle,chrome,1010,510,1093,615,FALSE,unclear,it seemed the easiest,62,m,english
18,nogoal,both,chrome,1023,600,1366,768,FALSE,really have no idea.,"if i had one chance, i would go for it all.",22,m,english
19,nogoal,handle,chrome,1316,654,1366,768,FALSE,not sure,i felt it would actually do something,33,m,russian
20,nogoal,button,chrome,1316,600,1366,768,FALSE,perception of choices,seems like it might be the best result based on speculation only,25,m,english
21,nogoal,button,chrome,1853,974,1920,1080,FALSE,decision making in spontaneous one time events. ,i felt pressing the button or pulling the lever was most likely to cause the object to do something. i felt that the button was a quick way to test the device.,22,f,english
22,nogoal,button,chrome,1853,949,1920,1080,FALSE,not really sure,"it's a big red button, it calls to me",37,male,english
23,nogoal,handle,chrome,925,600,412,732,FALSE,not sure,wanted to see what it did,45,m,english
24,nogoal,button,chrome,1099,600,1920,1080,FALSE,it was about perceptions.,i want to see what happens.,25,m,english
