id,final_toy_type,assignment_id,goal_condition,social_condition,complete_time_min,browser,os,screen_w,screen_h,condition,ip,language,enjoyment,asses,age,gender,education,comments,trial_type,toy,toy_type,train_attempt_num,action,success,rt,trial_num,why_toy,value
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,activation,tri-button.png,right-button,1,left-button,FALSE,6711,1,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,activation,tri-button.png,right-button,2,right-button,TRUE,3359,2,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,activation,tri-button.png,right-button,3,right-button,TRUE,4691,3,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,presentation,cyl-lever.png,right-lever,1,left-lever,FALSE,3444,4,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,presentation,cyl-lever.png,right-lever,2,right-lever,TRUE,2044,5,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,presentation,cyl-lever.png,right-lever,3,right-lever,TRUE,3496,6,NA,NA
1,learning,324G5B4FB38UOVA7E0SLF6IE0UM709,learning,no_social,5.154316666666666,Chrome,Mac,1440,900,no_social-learning,2601:58b:200:1610:b47d:519c:35bc:6d7a,English,Better than average,Yes,33,Male,Graduated College,,final_toy_choice,cube-spinner.png,na,na,na,NA,20205,7,gears,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,activation,tri-button.png,left-button,1,right-button,FALSE,4822,1,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,activation,tri-button.png,left-button,2,left-button,TRUE,3429,2,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,activation,tri-button.png,left-button,3,left-button,TRUE,7174,3,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,presentation,cyl-lever.png,right-lever,1,left-lever,FALSE,5352,4,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,presentation,cyl-lever.png,right-lever,2,right-lever,TRUE,2518,5,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,presentation,cyl-lever.png,right-lever,3,right-lever,TRUE,4427,6,NA,NA
2,presentation,32KTQ2V7RDFV5S57I2D3RZGXYNCM9C,presentation,social,2.4559333333333333,Chrome,Windows,1536,864,social-presentation,2604:2d80:5284:4e00:74f3:4d75:6043:f97e,English,Better than average,Yes,36,Female,Graduated College,,final_toy_choice,cyl-lever.png,na,na,na,NA,21693,7,because it's the most recent one i played with.,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,activation,cyl-lever.png,right-lever,1,left-lever,FALSE,5348,1,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,activation,cyl-lever.png,right-lever,2,right-lever,TRUE,3443,2,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,activation,cyl-lever.png,right-lever,3,right-lever,TRUE,3046,3,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,presentation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,2491,4,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,presentation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,1494,5,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,presentation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,3328,6,NA,NA
3,learning,32XVDSJFPZXK58K8XTYOHC8JSH2M2K,presentation,social,2.6455166666666665,Chrome,Windows,1920,1080,social-presentation,2600:1702:38c1:870:8c4d:79f6:d989:f391,English,Better than average,Yes,28,Male,Graduated College,,final_toy_choice,tri-button.png,na,na,na,NA,57124,7,"to show him i understand how his toys work. i never used this one. if i pick the right switch, it will show him i am smart",NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,activation,tri-button.png,left-button,1,right-button,FALSE,13722,1,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,activation,tri-button.png,left-button,2,left-button,TRUE,5074,2,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,activation,tri-button.png,left-button,3,left-button,TRUE,6515,3,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,presentation,cyl-lever.png,left-lever,1,right-lever,FALSE,6420,4,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,presentation,cyl-lever.png,left-lever,2,left-lever,TRUE,3703,5,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,presentation,cyl-lever.png,left-lever,3,left-lever,TRUE,4684,6,NA,NA
4,activation,33LKR6A5KEKHTISWNMZMY7T6UJJ1TI,presentation,social,7.573283333333333,Chrome,Windows,1366,768,social-presentation,204.16.247.102,English,Better than average,Yes,28,Male,Graduated College,,final_toy_choice,tri-button.png,na,na,na,NA,189980,7,because this is the only toy which looks nice contrast color and plays the song politely and also my first most favorite toy.,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,activation,tri-button.png,right-button,1,left-button,FALSE,4388,1,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,activation,tri-button.png,right-button,2,right-button,TRUE,3456,2,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,activation,tri-button.png,right-button,3,right-button,TRUE,4354,3,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,presentation,cube-spinner.png,left-spinner,1,right-spinner,FALSE,3148,4,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,presentation,cube-spinner.png,left-spinner,2,left-spinner,TRUE,2627,5,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,presentation,cube-spinner.png,left-spinner,3,left-spinner,TRUE,3927,6,NA,NA
5,learning,34HJIJKLP5WDY9T4FZI3XNOU3O8V44,activation,no_social,2.2594,Chrome,Windows,1536,864,no_social-activation,129.21.11.45,english,Average,Yes,58,Female,Graduated College,interesting,final_toy_choice,cyl-lever.png,na,na,na,NA,15390,7,to try it,NA
6,activation,34S6N1K2ZVJ4EG55G20G43ZWHT7HL4,activation,no_social,7.404983333333333,Chrome,Windows,1360,768,no_social-activation,198.46.251.130,English,Better than average,NA,28,Female,Graduated College,Nil,activation,cube-spinner.png,right-spinner,1,left-spinner,FALSE,4511,1,NA,NA
6,activation,34S6N1K2ZVJ4EG55G20G43ZWHT7HL4,activation,no_social,7.404983333333333,Chrome,Windows,1360,768,no_social-activation,198.46.251.130,English,Better than average,NA,28,Female,Graduated College,Nil,activation,cube-spinner.png,right-spinner,2,right-spinner,TRUE,2392,2,NA,NA
6,activation,34S6N1K2ZVJ4EG55G20G43ZWHT7HL4,activation,no_social,7.404983333333333,Chrome,Windows,1360,768,no_social-activation,198.46.251.130,English,Better than average,NA,28,Female,Graduated College,Nil,activation,cube-spinner.png,right-spinner,3,right-spinner,TRUE,9067,3,NA,NA
6,activation,34S6N1K2ZVJ4EG55G20G43ZWHT7HL4,activation,no_social,7.404983333333333,Chrome,Windows,1360,768,no_social-activation,198.46.251.130,English,Better than average,NA,28,Female,Graduated College,Nil,presentation,cyl-lever.png,right-lever,1,left-lever,FALSE,5013,4,NA,NA
